,Unnamed: 0,DateTime,Price_EUR_MWh,Datetime_UTC,Total_MWh,PV_and_Wind_MWh,Wind_Offshore_MWh,Wind_Onshore_MWh,Photovoltaics_MWh,Other_MWh,Forecasted_Grid Load_(Forecasted_Total_Consumption)_MWh,offshore_wind_speed,offshore_wind_gusts,offshore_temperature,offshore_wind_direction,onshore_temperature_2m_c,onshore_wind_speed_10m_kmh,onshore_wind_direction_10m_deg,onshore_wind_gusts_10m_kmh,Date,Carbon,Coal,Gas,hour,day_of_week,month,is_weekend,is_peak_hour,forecast_residual_load_mwh,renewable_penetration_ratio,solar_to_wind_ratio,price_lag_24h,price_lag_168h,price_volatility_24h,PV_and_Wind_Last_Year,Absolute_Difference_MWh,Percentage_Change_%,demand_ramp_3h_mw,spatial_wind_variance,wind_speed_volatility_delta,gas_generation_cost_floor_eur,gas_ttf_5d_variance,carbon_eua_5d_variance,heating_degree_days,cooling_degree_days,solar_saturation_index,regime_saturation_flag,Gas_1d_lag,Carbon_1d_lag,Coal_1d_lag
17957,29214,2026-05-02 06:00:00,18.27,2026-05-02 08:00:00+02:00,52344.82,39012.08,3323.41,13186.41,22502.27,3323.41,48398.51,18.8485,25.8012,12.7173,191.67493270850272,14.625,8.4,168.0,18.275,2026-05-02,69.81999969482422,96.0,45.76599884033203,6,5,5,1,0,9386.43,0.806059525219669,1.3629627692107105,35.3325,20.035,187.97741087971605,27960.75,11051.330000000002,39.524440510358275,7550.459999999999,54.58557612500001,-36.13622087999995,105.63563761901855,1.293612541342686,0.5914516654228823,0.375,0.0,0.46493724693901994,0,45.76599884033203,69.81999969482422,96.0
17958,29215,2026-05-02 07:00:00,1.27,2026-05-02 09:00:00+02:00,59392.25,45510.68,3331.02,8013.52,34166.14,3331.02,50569.61,18.3157,26.7517,12.8014,194.8393518102962,17.599999999999998,10.2,179.75,23.3,2026-05-02,69.81999969482422,96.0,45.76599884033203,7,5,5,1,0,5058.93,0.899961063393615,3.0116813876881023,-0.0275,-0.0424999999999999,187.8587841883571,34755.25,10755.43,30.946202372303468,8283.18,32.932293245000004,-53.13753077499998,105.63563761901855,1.2944286119846524,0.5874835125210404,0.0,0.0,0.6756259340984385,0,45.76599884033203,69.81999969482422,96.0
17959,29216,2026-05-02 08:00:00,-2.3875,2026-05-02 10:00:00+02:00,63013.68,49959.65,1760.27,6021.23,42178.16,1760.27,51459.55,17.799599999999998,26.6362,13.1521,194.9990163710162,20.025,11.825,189.25,27.9,2026-05-02,69.81999969482422,96.0,45.76599884033203,8,5,5,1,1,1499.9000000000015,0.9708528347078719,5.420312272157924,-21.18,-7.27,187.86004478164654,40494.75,9464.900000000001,23.373153309996976,6362.4100000000035,17.84792257999999,-60.528529425000016,105.63563761901855,1.2951299735523152,0.5833929197824231,0.0,0.0,0.8196371711723796,1,45.76599884033203,69.81999969482422,96.0
17960,29217,2026-05-02 09:00:00,-21.9125,2026-05-02 11:00:00+02:00,65715.31,53818.78,1616.31,4988.72,47213.74,1616.31,50949.88,18.0994,26.2529,13.636,197.1669952962567,22.05,12.3,194.5,30.225,2026-05-02,69.81999969482422,96.0,45.76599884033203,9,5,5,1,1,-2868.9000000000015,1.056308277653194,7.148149202731631,-108.6175,-42.1425,187.82252512390457,45103.75,8715.029999999999,19.32218496244769,2551.3699999999953,16.81652017999999,-46.68992982,105.63563761901855,1.2957166260456743,0.5791798872070305,0.0,0.05000000000000071,0.9266702883448066,1,45.76599884033203,69.81999969482422,96.0
17961,29218,2026-05-02 10:00:00,-83.6075,2026-05-02 12:00:00+02:00,65694.0,54990.84,1461.0,4317.59,49212.26,1461.0,50058.65,17.9332,25.9523,13.7199,201.33359013710512,23.55,13.45,203.25,31.7,2026-05-02,69.81999969482422,96.0,45.76599884033203,10,5,5,1,1,-4932.189999999995,1.0985282261709957,8.51630932716059,-318.58,-100.5125,186.52739952446174,48067.25,6923.5899999999965,14.403965277813887,-510.9599999999991,10.04954112,-50.94868040000005,105.63563761901855,1.2961885694647295,0.5748444147948624,0.0,1.5500000000000007,0.9830920328488498,1,45.76599884033203,69.81999969482422,96.0
17962,29219,2026-05-02 11:00:00,-130.0275,2026-05-02 13:00:00+02:00,63998.73,54121.72,1330.52,4269.71,48521.49,1330.52,48605.09,18.1161,26.0692,13.8036,214.6660376310973,24.675,13.95,206.0,33.025000000000006,2026-05-02,69.81999969482422,96.0,45.76599884033203,11,5,5,1,1,-5516.630000000005,1.1134990180836002,8.664195919338677,-499.0,-176.4425,174.8323022938331,48931.5,5190.220000000001,10.607114026751686,-2854.4600000000064,8.678194605,-35.621266039999995,105.63563761901855,1.296545803809481,0.5703865025459188,0.0,2.6750000000000007,0.9982800153238518,1,45.76599884033203,69.81999969482422,96.0
17963,29220,2026-05-02 12:00:00,-86.8425,2026-05-02 14:00:00+02:00,61073.08,51364.05,1253.03,4859.61,45251.41,1253.03,47052.26,16.3672,25.8354,13.7539,218.16926833732623,25.25,14.875,204.5,34.925,2026-05-02,69.81999969482422,96.0,45.76599884033203,12,5,5,1,1,-4311.790000000001,1.0916383185225027,7.402924092694935,-474.9675,-190.865,141.0226664867462,47599.25,3764.800000000003,7.909368319878995,-3897.6199999999953,1.1133304200000007,-34.48743538499998,105.63563761901855,1.2967883290799287,0.5658061504602,0.0,3.25,0.9617265991130444,1,45.76599884033203,69.81999969482422,96.0
17964,29221,2026-05-02 13:00:00,-14.0375,2026-05-02 15:00:00+02:00,58192.24,46647.86,1259.6,5716.73,39671.52,1259.6,46172.93,18.2994,26.985499999999995,13.737399999999996,221.8393518102962,25.575000000000003,14.525,211.5,36.9,2026-05-02,69.81999969482422,96.0,45.76599884033203,13,5,5,1,0,-474.9300000000003,1.0102858967342367,5.686588785670132,-205.8775,-133.8025,96.20859236202364,44014.75,2633.1100000000006,5.982335467087739,-3885.720000000001,7.123047679999994,-21.477949440000017,105.63563761901855,1.2969161452760727,0.5611033585377058,0.0,3.575000000000003,0.8591943372752834,1,45.76599884033203,69.81999969482422,96.0
17965,29222,2026-05-02 14:00:00,0.0325,2026-05-02 16:00:00+02:00,54721.35,41944.17,2458.09,6643.85,32842.23,2458.09,46136.92,17.433,26.1686,13.570799999999998,224.1841772566709,25.75,14.05,214.75,33.2,2026-05-02,69.81999969482422,96.0,45.76599884033203,14,5,5,1,0,4192.75,0.9091237557883959,3.6082670248229864,-26.2475,-53.975,81.55650703612923,37928.25,4015.9199999999983,10.588202724881844,-2468.1699999999983,5.722344499999997,-33.250627344999984,105.63563761901855,1.296929252397913,0.5562781267784361,0.0,3.75,0.7118427062942557,1,45.76599884033203,69.81999969482422,96.0
17966,29223,2026-05-02 15:00:00,54.945,2026-05-02 17:00:00+02:00,47608.95,32957.51,2252.52,7087.92,23617.07,2252.52,46698.66,18.8151,27.2012,13.5374,227.00413991036345,25.425,11.675,219.75,34.025,2026-05-02,69.81999969482422,96.0,45.76599884033203,15,5,5,1,0,13741.150000000001,0.7057485159733172,2.5284751012495392,5.555,-5.245,80.65727956944055,29132.25,3825.260000000002,13.130671335032487,-353.59999999999854,25.490514005,-23.456093399999993,105.63563761901855,1.2968276504454495,0.5513304551823913,0.0,3.4250000000000007,0.505733354981549,0,45.76599884033203,69.81999969482422,96.0
